Designator,Mid X,Mid Y,Rotation,Layer
C201,42.05,-83.75,180.0,top
C202,42.05,-82.15,180.0,top
C203,42.05,-74.85,0.0,top
C204,42.05,-76.45,0.0,top
C205,26.1,-86.5,0.0,top
C206,29.1,-86.5,180.0,top
C207,31.35,-67.5,90.0,top
C401,56.35,-84.525,270.0,bottom
C501,48.0,-64.25,90.0,bottom
C502,53.1,-60.9,180.0,bottom
C503,53.1,-58.9,180.0,bottom
C504,53.1,-56.9,180.0,bottom
C505,55.4,-64.6,270.0,bottom
C506,49.35,-51.1175,0.0,bottom
C507,49.35,-53.7,0.0,bottom
J201,27.2,-63.2,270.0,bottom
J202,27.2,-53.8,270.0,bottom
J401,60.5,-77.3,270.0,bottom
L501,48.4,-58.1,90.0,bottom
LED301,42.0,-20.0,0.0,top
LED302,38.0,-20.0,0.0,top
LED303,34.0,-20.0,0.0,top
LED304,30.0,-20.0,0.0,top
LED305,26.0,-20.0,0.0,top
LED306,42.0,-23.0,0.0,top
LED307,38.0,-23.0,0.0,top
LED308,34.0,-23.0,0.0,top
LED309,30.0,-23.0,0.0,top
LED310,26.0,-23.0,0.0,top
LED311,42.0,-26.0,0.0,top
LED312,38.0,-26.0,0.0,top
LED313,34.0,-26.0,0.0,top
LED314,30.0,-26.0,0.0,top
LED315,26.0,-26.0,0.0,top
LED316,42.0,-29.0,0.0,top
LED317,38.0,-29.0,0.0,top
LED318,34.0,-29.0,0.0,top
LED319,30.0,-29.0,0.0,top
LED320,26.0,-29.0,0.0,top
LED321,42.0,-32.0,0.0,top
LED322,38.0,-32.0,0.0,top
LED323,34.0,-32.0,0.0,top
LED324,30.0,-32.0,0.0,top
LED325,26.0,-32.0,0.0,top
LED326,46.0,-20.0,0.0,top
LED327,50.0,-20.0,0.0,top
LED328,54.0,-20.0,0.0,top
LED329,58.0,-20.0,0.0,top
LED330,62.0,-20.0,0.0,top
LED331,46.0,-23.0,0.0,top
LED332,50.0,-23.0,0.0,top
LED333,54.0,-23.0,0.0,top
LED334,58.0,-23.0,0.0,top
LED335,62.0,-23.0,0.0,top
LED336,46.0,-26.0,0.0,top
LED337,50.0,-26.0,0.0,top
LED338,54.0,-26.0,0.0,top
LED339,58.16,-26.0,0.0,top
LED340,62.0,-26.0,0.0,top
LED341,46.0,-29.0,0.0,top
LED342,50.0,-29.0,0.0,top
LED343,54.0,-29.0,0.0,top
LED344,58.0,-29.0,0.0,top
LED345,62.0,-29.0,0.0,top
LED346,46.0,-32.0,0.0,top
LED347,50.0,-32.0,0.0,top
LED348,54.0,-32.0,0.0,top
LED349,58.0,-32.0,0.0,top
LED350,62.0,-32.0,0.0,top
LED351,46.0,-35.0,0.0,top
LED352,50.0,-35.0,0.0,top
LED353,54.0,-35.0,0.0,top
LED354,58.0,-35.0,0.0,top
LED355,62.0,-35.0,0.0,top
LED356,46.0,-38.0,0.0,top
LED357,50.0,-38.0,0.0,top
LED358,54.0,-38.0,0.0,top
LED359,58.0,-38.0,0.0,top
LED360,62.0,-38.0,0.0,top
LED361,46.0,-41.0,0.0,top
LED362,50.0,-41.0,0.0,top
LED363,54.0,-41.0,0.0,top
LED364,58.0,-41.0,0.0,top
LED365,62.0,-41.0,0.0,top
LED366,46.0,-44.0,0.0,top
LED367,50.0,-44.0,0.0,top
LED368,54.0,-44.0,0.0,top
LED369,58.0,-44.0,0.0,top
LED370,62.0,-44.0,0.0,top
LED371,46.0,-47.0,0.0,top
LED372,50.0,-47.0,0.0,top
LED373,54.0,-47.0,0.0,top
LED374,58.0,-47.0,0.0,top
LED375,62.0,-47.0,0.0,top
LED376,26.0,-35.0,0.0,top
LED377,30.0,-35.0,0.0,top
LED378,34.0,-35.0,0.0,top
LED379,38.0,-35.0,0.0,top
LED380,42.0,-35.0,0.0,top
LED381,26.0,-38.0,0.0,top
LED382,30.0,-38.0,0.0,top
LED383,34.0,-38.0,0.0,top
LED384,38.0,-38.0,0.0,top
LED385,42.0,-38.0,0.0,top
LED386,26.0,-41.0,0.0,top
LED387,30.0,-41.0,0.0,top
LED388,34.0,-41.0,0.0,top
LED389,38.0,-41.0,0.0,top
LED390,42.0,-41.0,0.0,top
LED391,26.0,-44.0,0.0,top
LED392,30.0,-44.0,0.0,top
LED393,34.0,-44.0,0.0,top
LED394,38.0,-44.0,0.0,top
LED395,42.0,-44.0,0.0,top
LED396,26.0,-47.0,0.0,top
LED397,30.0,-47.0,0.0,top
LED398,34.0,-47.0,0.0,top
