Designator,Footprint,Quantity,Value,LCSC Part #
"C201, C203, C205",0603,3,100nF,
"C202, C204, C206, C207",0603,4,0.1uF,
C401,0603,1,1uF,
"C501, C505",0805,2,100nF,
"C502, C503, C504",0805,3,1uF,
"C506, C507",0805,2,22uF,
"J201, J202",JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal,2,Conn_01x04_MountingPin,
J401,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
L501,IND-SMD_L5.2-W5.2_MCW-0530,1,SMMS0530-100M,C181721
"LED301, LED302, LED303, LED304, LED305, LED306, LED307, LED308, LED309, LED310, LED311, LED312, LED313, LED314, LED315, LED316, LED317, LED318, LED319, LED320, LED321, LED322, LED323, LED324, LED325, LED326, LED327, LED328, LED329, LED330, LED331, LED332, LED333, LED334, LED335, LED336, LED337, LED338, LED339, LED340, LED341, LED342, LED343, LED344, LED345, LED346, LED347, LED348, LED349, LED350, LED351, LED352, LED353, LED354, LED355, LED356, LED357, LED358, LED359, LED360, LED361, LED362, LED363, LED364, LED365, LED366, LED367, LED368, LED369, LED370, LED371, LED372, LED373, LED374, LED375, LED376, LED377, LED378, LED379, LED380, LED381, LED382, LED383, LED384, LED385, LED386, LED387, LED388, LED389, LED390, LED391, LED392, LED393, LED394, LED395, LED396, LED397, LED398, LED399, LED400",LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,100,WS2812B,C965555
LED401,0603,1,LED_0603,
"R401, R404, R405, R406",R_0603,4,10k,
"R402, R403",R_0603,2,1k,
R501,R_0603,1,100k,
R502,R_0603,1,330k,
R503,R_0603,1,20,
R504,R_0603,1,41.2k,
R505,R_0603,1,51k,
R506,R_0603,1,6.98k,
SW201,SW-SMD_SKRHAAE010,1,SKRHAAE010,C202423
"SW202, SW203, SW204, SW205, SW206, SW207",KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6,6,SKRPABE010,C115360
SW401,SW-SMD_DSHP03TS-S,1,DSHP03TS-S,C319051
U202,DHVQFN-14_L3.0-W2.5-P0.50-BL-EP,1,"74AHCT125BQ,115",C554499
U203,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-TL,1,MIC5219-3.3YM5,C29613
U401,SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm_ThermalVias,1,CH224K,
U402,BULETM-SMD_ESP32-S3-MINI-1-N8,1,ESP32-S3-MINI-1-N8,C2913206
U501,QFN-8_L3.0-W3.0-P0.65-BL,1,MP9943GQ,C51889390
